activity,x-axis,y-axis,z-axis
int64,float64,float64,float64
1,-0.014370117,9.565708,0.57959473
1,0.32093263,9.560919,0.0
1,-0.09101075,9.216036,1.092129
1,-0.1820215,9.201666,2.1507277
1,-0.4742139,9.182506,2.4093897
1,-0.8478370000000001,9.010064,3.0799952
1,-0.9963282,8.828042,3.3913480000000003
1,-1.3172607,8.47837,4.2487650000000015
1,-1.5280225,7.9802054999999985,5.6666164000000006
1,-1.3891114,7.510782000000002,6.7683253
1,-1.8776954,7.031778,8.004155
1,-2.8692336,6.09772,10.744058
1,-3.7170706,5.101392,14.485079
1,-3.9469924,3.9278321,17.220192
1,-4.5457473,2.0549269,19.323019
1,-4.9002104000000015,0.16765137,20.391197
1,-4.622388,-1.3699511999999998,21.200714
1,-4.2775050000000014,-3.4536183,20.606749
1,-3.970942500000001,-6.2893214,18.542242
1,-3.4584084,-9.70941,13.785733
1,-2.6393116,-13.282779,4.87147
1,-0.6610254,-15.591578,-2.5962012000000003
1,2.2225783,-19.049986,-10.662627
1,1.9926564,-19.193687,-19.49067
1,-0.244292,-15.285015,-24.52979
1,0.6993457,-11.649376,-26.302105
1,0.5508545,-7.434141,-26.249414
1,0.244292,-2.8500733,-26.96313
1,0.852627,0.60833496,-25.195606
1,1.9830762,1.9447559,-20.83667
1,2.2800586,2.2704787,-19.30865
1,1.2406201,2.936294,-22.05813
1,0.11496094,3.63564,-24.649542
1,-0.25387207,4.0859036,-26.124874
1,0.14849122,3.3721876,-26.943972
1,0.8143066999999999,2.7830129,-25.981173
1,1.5423926,1.8441651,-24.55853
1,2.1411476,0.7185059,-23.849606
1,1.9639161,-0.244292,-23.068829
1,2.3854396,-2.0070264,-22.244942
1,2.4333398,-3.3721876,-19.399658
1,1.6621436,-3.4009278,-15.064673
1,1.0059083,-3.2476466,-10.902129
1,-0.19639161,-2.7734327000000003,-7.084467999999998
1,-0.19639161,-2.5866213,-4.0811133
1,-0.12933107,-2.567461,-0.023950197000000003
1,0.20597169,-2.074087,2.787803
1,-0.34009278,-1.3747413,5.973179
1,-0.5508545,-0.20597169,7.654483
1,-0.8095166,0.52690434,7.922724700000002
1,-1.2070899,1.0202783000000002,9.034014
1,-1.2549903,1.2741505,11.505674
1,-1.2454101999999998,2.1171973,12.866045
1,-1.1975098,3.2380664,13.043277
1,-1.2070899,4.2056546,12.703184
1,-0.8143066999999999,5.0822315,11.146421
1,-0.5221143,5.925278700000002,8.842413
1,-0.52690434,6.6773148,7.3527102
1,-0.21555176,7.2425394,6.5048733
1,-0.21076173,7.7502837,6.0306597
1,-0.23950197,8.296348,4.991221
1,-0.28740236,8.804092,3.410508
1,-0.46942386,9.062755,2.6776319
1,-0.68018556,9.192085,2.5914114
1,-0.7424561,9.263936,2.687212
1,-0.8430469,9.278306,3.1566358
1,-0.977168,9.196876,3.6116896
1,-1.2597803,9.0148535,4.2104445
1,-1.3939015,8.804092,5.0439115
1,-1.585503,8.468789,6.3803325
1,-1.7148341,8.056846,7.6353225999999985
1,-1.8489552,7.510782000000002,8.804092
1,-2.327959,7.0988383000000015,10.370435
1,-2.7494826,6.452183,12.28645
1,-3.0991554,5.628296400000001,14.240787
1,-3.051255,4.584067299999999,16.391514
1,-2.9794044,3.1374757,17.224981
1,-3.0081446,1.6573536,16.765137
1,-2.9841945,-0.08622070400000001,16.631016
1,-2.0932472,-2.6967921,15.80234
1,-1.2933106,-5.7911572,12.22418
1,-1.0106983,-9.3309965,7.213799000000002
1,-0.12454102,-12.569063,0.019160157
1,1.22146,-14.240787,-6.0258694
1,2.2417383,-14.489869,-11.548784
1,0.8669971,-12.20023,-16.995060000000002
1,-0.49337405,-11.333233,-22.331163
1,0.39757326,-8.037686,-23.739435
1,1.465752,-4.88584,-24.266338
1,1.5663428,-0.90052736,-24.807613
1,3.0225148,1.3986914,-22.240152
1,4.3014555,1.6286134,-20.367247
1,3.171006,2.6441016,-22.379063
1,1.0633887,3.8511915,-24.481892
1,-0.46463382,4.478687,-24.908205
1,-0.5604346,4.4547367,-24.860304
1,-0.081430666,4.033213,-24.012466
1,-0.028740235,3.5542092000000003,-22.494024
1,0.79035646,2.7734327000000003,-21.392315
1,1.6860938,1.7339942,-21.009111
1,1.2310401000000002,0.5221143,-19.61042
1,1.6286134,-0.45026368,-16.669335999999998
1,0.6466553,-0.82388675,-12.23376
1,0.1820215,-0.22513184,-9.81
1,-0.613125,0.1820215,-7.27128
1,-1.1256592,0.613125,-3.7362306
1,-0.45026368,0.9436377,-1.2310401000000002
1,-0.5412744,1.2118799999999998,2.4045997000000003
1,-0.8430469,2.0213966,5.479805000000002
1,-0.76161623,3.1853762000000003,6.332432
1,-1.0011181999999998,4.157754,6.4569730000000005
1,-1.4034815,4.6654983,7.117997999999999
1,-0.9484278,5.230723,7.36708
1,-0.62749517,5.863008,7.510782000000002
1,-0.60833496,6.495293,7.0509377
1,-0.78556645,7.175478999999998,5.743257
1,-0.75203615,7.678433,4.842729599999998
1,-0.31135255,8.243657,3.6308498
1,-0.4263135,8.713080999999999,2.8740237
1,-0.63707525,9.048384,2.4572902
1,-0.56522465,9.3453665,2.074087
1,-0.60833496,9.685459,1.6142433
1,-0.6658155,9.948912,0.852627
1,-0.76161623,10.001602,0.4981641
1,-0.87178713,9.992022,0.7759864000000001
1,-0.7089258,10.001602,1.0346485
1,-0.60833496,9.915381,0.98195803
1,-0.62749517,9.800421,0.7807764
1,-0.6322852,9.70941,1.0729688
1,-0.5987549,9.474698,2.304009
1,-0.488584,9.235196,3.4679885
1,-0.4742139,9.010064,4.493057
1,-0.75203615,8.818462,5.7001467
1,-1.0681788,8.459209,6.7587449999999984
1,-1.6621436,7.7359133,8.425678999999999
1,-2.193838,6.6581545,11.539205
1,-2.2513185,5.4606447,15.428717
1,-2.2848487,4.181704,18.30274
1,-2.8500733,2.9650342,19.088306
1,-3.4392480000000005,1.7244141,18.19736
1,-3.2380664,-0.009580079,17.20103
1,-2.42376,-2.318379,16.659755999999998
1,-1.465752,-5.379214299999999,14.863492
1,-0.8861573,-9.216036,10.269844
1,-0.62749517,-12.540323,2.6009912
1,0.36883304,-14.389278,-5.0918117
1,2.059717,-13.958175,-11.270963
1,1.7627343999999998,-13.095967,-13.004956
1,-0.32572266,-12.377461,-15.471827
1,0.28261232,-11.242222,-19.859503
1,2.4908204,-9.115445,-22.814957
1,2.3519094,-5.388794,-23.614893
1,2.8357031000000004,-1.9016455,-22.709576
1,3.5877395,-0.34967285,-21.87611
1,2.7351124,0.06706055,-23.303541
1,1.1735597,1.0585986,-25.123756
1,-0.15328126,2.1076174,-26.273365
1,-0.21555176,2.5243506,-27.389444
1,0.53169435,2.4764502,-28.12232
1,1.3603711,1.4082716,-27.149942
1,1.7292042,0.5412744,-24.965685
1,1.6717237,-0.119750984,-23.05925
1,1.7866846,-0.7376661,-21.95275
1,1.8681153,-1.6573536,-20.903732
1,2.0932472,-2.806963,-18.31232
1,1.9687061,-3.530259,-14.485079
1,1.3555812,-3.3626075,-10.504556
1,0.71371585,-2.955454,-7.2808595
1,0.244292,-2.4764502,-4.3493557
1,-0.16765137,-1.9734962,-1.0346485
1,-0.6658155,-1.0106983,2.1746778
1,-0.45026368,-0.038320314,4.272715
1,-0.63707525,0.8430469,6.1408305
1,-0.7807764,1.8776954,6.7874856
1,-0.7759864000000001,2.8788135,6.9551373
1,-0.9580079,3.774551,7.702383
1,-1.0633887,4.6654983,7.807764
1,-0.8382569,5.5516553,7.434141
1,-0.8765772,6.303692,7.6257424
1,-1.0202783000000002,7.1132083,7.338340299999999
1,-0.97237796,7.764653699999998,6.236631
1,-0.97237796,8.181386999999999,5.949229
1,-1.1304493,8.617281,5.733676999999999
1,-1.1543995,9.010064,4.813989599999998
1,-0.9867481,9.263936,3.4631984
1,-1.2166699,9.580078,2.6009912
1,-1.3603711,9.70941,2.304009
1,-1.0490186,9.72857,2.1411476
1,-0.7089258,9.618399,2.1219873
1,-0.7041358,9.532178,1.8633252
1,-0.7711963000000001,9.422008,1.9303858
1,-0.5939649,9.273516,2.3566992
1,-0.60354495,9.144185,2.8836036
1,-0.7376661,9.034014,3.3147073
1,-0.7951465,9.005274,3.693120200000001
1,-0.79993653,8.986114,3.9853127
1,-0.87178713,8.995694,4.3062453000000005
1,-0.8765772,8.952583,4.790039
1,-0.9867481,8.856783,5.6905665
1,-1.2981006000000002,8.468789,6.969507000000001
1,-1.9160157,7.8460839999999985,8.775352
1,-2.4716604,7.156318700000001,11.917618
1,-2.692002,6.1504107,15.390396
1,-2.8740237,4.7133985,16.99985
1,-2.7015822,2.792593,18.010548
1,-2.816543,0.60833496,18.695522
1,-3.1997461,-1.1064991000000002,16.750767
1,-3.530259,-3.0177248,14.125826000000002
1,-2.9458742,-6.08814,10.312955
1,-0.732876,-9.7142,3.0895753
1,1.1927198,-12.2433405,-3.2524366
1,1.9639161,-13.0384865,-8.818462
1,0.9244776,-12.487633,-13.215718
1,0.29698244,-11.697276,-15.395186
1,1.6046631000000002,-10.768008,-16.990269
1,2.0118165,-9.101074,-18.652412
1,2.1124072,-6.1312504,-20.68339
1,2.6297317,-3.2236965,-20.927681
1,3.1566358,-1.8585353,-19.907404
1,2.562671,-1.3795313,-19.849922
1,2.0166066,-0.6514453,-21.042643
1,2.2752686,0.30177248,-23.14068
1,1.7914747,1.0777588,-25.56923
1,0.6658155,1.7435743,-27.049353000000004
1,0.79993653,1.8058448,-27.169104
1,1.2981006000000002,1.5615528,-26.79069
1,1.6381935,0.9484278,-26.148825
1,2.3902297000000003,-0.033530276,-25.296198
1,2.802173,-1.0825489,-24.304659
1,2.7494826,-2.304009,-23.653214
1,2.5387208,-3.5206788,-22.08208
1,2.548301,-4.191284,-19.548151
1,2.2129982000000004,-4.7708793,-15.912511
1,2.0118165,-5.158872,-11.587105
1,1.7627343999999998,-5.221143,-7.505991499999999
1,0.8813671999999999,-4.9529004,-3.046465
1,-0.09580079,-4.0811133,1.1256592
1,-0.18681154,-2.7159522000000003,3.6116896
1,0.0047900393,-1.3603711,4.7708793
1,-0.25387207,-0.20118165,5.599556
1,-1.1735597,0.7807764,6.5719337
1,-1.585503,1.949546,7.640112400000001
1,-1.0490186,3.1278956,8.162227
1,-1.1639795,3.9901028,9.359736
1,-1.695674,4.8091993,10.653048
1,-1.3412110000000002,5.8390580000000005,9.656719
1,-1.1783496,6.734795,8.167017
1,-1.3699511999999998,7.314389999999999,7.769443499999999
1,-1.1256592,7.731123399999999,6.959927
1,-0.9627979,8.052056,5.7719975
1,-0.9963282,8.497530000000001,4.742139
1,-1.0059083,8.837622999999997,4.4643164
1,-1.1831397,9.0148535,4.334985700000002
1,-1.092129,9.254355,3.166216
1,-0.9196875,9.426797,1.8154249
1,-1.0538087,9.541759,1.3651612
1,-0.8909473,9.565708,1.5088624
1,-0.5843848,9.445957,1.8729054
1,-0.6466553,9.436378,1.8106349
1,-0.92926764,9.498648,1.8585353
1,-0.9532178,9.417217,2.3710694
1,-0.8765772,9.230406,3.1949563
1,-0.8430469,9.048384,4.009263
1,-0.8909473,8.957374,4.7565089999999985
1,-0.9580079,8.861572,5.3456839999999985
1,-1.092129,8.693921000000001,6.1743608
1,-1.5423926,8.583751,7.060517999999999
1,-2.1124072,8.320298,8.205338000000001
1,-2.4716604,7.606582,9.575289
1,-2.7830129,6.888076299999999,11.00751
1,-3.0847852,5.968389,13.081597
1,-3.132685700000001,4.526587,14.758110999999998
1,-2.9841945,3.2428565,15.131734
1,-2.7446926,2.1507277,14.920972
1,-2.6345215,0.60354495,14.786851
1,-2.5530908,-1.6573536,14.178516
1,-2.1555176,-4.397256,12.056529
1,-1.3124708,-7.817344,8.49274
1,-0.45026368,-11.884088,4.0427933
1,1.1304493,-15.433507,-2.7351124
1,2.8309133,-16.951948,-10.011182000000002
1,2.8788135,-17.05733,-13.675562
1,0.852627,-15.543677,-17.416582000000002
1,0.033530276,-12.607384,-22.422174
1,1.1543995,-8.243657,-25.842262
1,2.2273684,-4.200864299999999,-24.32382
1,2.9698243,-2.6153615,-20.051104
1,4.0427933,-2.5291407,-17.670454
1,4.3397755999999985,-1.7004639,-19.232008
1,3.3530276,-0.63707525,-22.331163
1,1.4753321,0.2203418,-24.093897
1,0.86220706,0.81909674,-25.66503
1,1.1831397,1.1496094,-27.255323
1,1.1112891000000005,1.0442286,-27.288855
1,0.8909473,0.50774413,-25.58839
1,1.6429834,-0.32572266,-24.21844
1,2.8548634,-1.3028906999999998,-23.648424
1,2.7830129,-2.2656887,-22.580246
1,2.323169,-2.7686427000000005,-20.515738
1,1.949546,-3.1231055,-18.681152
1,1.2549903,-3.0943654,-16.377144
1,1.6286134,-3.2572267000000004,-13.627662
1,2.43813,-3.4392480000000005,-11.553575
1,2.5051906,-3.4967287,-9.7621
1,1.5471827,-3.4775686,-7.185059
1,-0.023950197000000003,-2.936294,-3.0416749
1,0.7807764,-1.9926564,-0.8143066999999999
1,0.5364844,-1.1400293,0.8095166
1,-0.74724615,-0.20597169,3.5015187000000005
1,-1.0681788,0.7424561,5.6618266
1,-0.64186525,1.6429834,6.696475
1,-0.7185059,2.8740237,7.419770699999999
1,-0.68976563,3.923042,8.066426
1,-1.0106983,5.039121,8.54064
1,-1.0490186,5.973179,8.028106
1,-0.9532178,6.8593364,6.404282599999998
1,-1.1304493,7.7550735,5.1780324
1,-1.1208692,8.372989,4.5074267
1,-0.91010743,8.646021000000001,4.416416000000001
1,-0.8095166,8.847202000000003,4.5888577
1,-0.9388476999999998,8.976534,4.6607084
1,-1.092129,9.230406,4.028423
1,-1.3795313,9.398057,3.1278956
1,-1.4130616000000005,9.431587,2.8213332
1,-1.22146,9.388477,3.0416749
1,-1.0777588,9.297466,3.2859669
1,-0.9196875,9.283096,2.8836036
1,-1.0681788,9.292676,2.3806496
